posi,char,color,gen,member
"0.4",天使,r,1,加藤 史帆
"0.8",寿司,b,2,金村 美玖
"1.2",兎耳,y,3,上村 ひなの
"1.6",百裂,g,4,石塚 瑶季
"2.0",支柱,r,1,佐々木 久美
"2.4",沼女,g,4,小西 夏菜実
"2.8",彼女,b,2,河田 陽菜
"3.2",正義,g,4,清水 理央
"3.6",堅実,y,3,髙橋 未来虹
"4.0",少年,g,4,正源司 陽子
"4.4",ぱん,r,1,佐々木 美玲 
"4.8",大砲,g,4,平尾 帆夏
"5.2",女神,b,2,小坂 菜緒
"5.6",天才,y,3,森本 茉莉
"6.0",じゃけぇ,g,4,竹内 希来里
"6.4",温厚,r,1,高瀬 愛奈
"6.8",美声,b,2,富田 鈴花
"7.2",文才,g,4,平岡 海月
"7.6",笑顔,b,2,丹生 明里
"8.0",降臨,g,4,藤嶌 果歩
"8.4",姉御,r,1,高本 彩花
"8.8",甘辛,g,4,宮地 すみれ
"9.2",投球,y,3,山口 陽世
"9.6",炸裂,g,4,山下 葉留花
"10.0",優勝,r,1,東村 芽依
"10.4",余裕,b,2,濱岸 ひより
"10.8",初恋,g,4,渡辺 莉奈
"11.2",安心,b,2,松田 好花
